"lagoslakeid","UID","mercury","atrazine","microcystin","ecoli","chla","tp","tn","secchi","DOC","conductivity","lake_huc12","neon_zoneid","lake_lon_decdeg","lake_lat_decdeg","lake_shorelinedevfactor","ws_zoneid","ws_area_ha","value.soil_clay_pct","value.soil_depthtobedrock_cm","value.soil_kffact","value.soil_orgcarbon_gperkg","nlcd_devsum_pct","ag_total","value.runoff_inperyr","P_Ag_Buffered","DMR_Metals_TWPE_lb_eq_yr","DMR_Organic_Enrichment_Disch","Number_of_CSOs","SNFA_MEAN","PIMPV","Manure_P_kg_ha","HUC12_Pop","lake_waterarea_ha"
2898,2011098,0.0515,0.63,0.728,1,23.31,46.35875,1.086,1.3,6.85,481.3,40500011505,4,-85.35290699,41.48871699,4.182542964,2898,3756.558624,18.10522862,5387.810545,0.2483694346,100.6897348,17.43673313,51.06163727,11.33984629,76.18438956,0,348.9,0,39.99951553,1.407240705,0.9182477698,2089.804125,264.4283875
2928,2010676,0.0671,0.41,0,0,3.59,13.6825,0.765,1.5,7.31,638.4,40500010801,4,-85.0119777,41.72520601,1.421110477,2928,899.7955124,16.38500302,3490.012901,0.294224322,136.6987503,34.88604558,31.8672531,10.80791751,85.84499771,4.967817,1956.669,0,20.01635551,4.91531133,0.3995655384,5363.04057,28.42348763
3017,2010709,0.0657,0.04,0,1,2.98,19.5825,0.638,6,5.95,364.3,70101080109,8,-95.3960807,45.9185881,1.480923855,3017,256.6802,20.28597701,6030.516782,0.1893978849,122.9462069,49.29577465,17.88732394,4.487775142,97.22365925,0,0,0,6.691345692,1.799869308,0.7205100051,1840.891482,422.0085608
3056,2011007,0.1751,0,0,1,11.79,32.74,0.786,1.8,5.14,466.5,20401050202,0,-74.78423637,40.95074533,1.939599102,3056,734.2329872,14.46336928,1647.931945,0.2635195198,282.0462378,13.19666094,17.68966364,21.14180493,74.54799381,0,8429.715,0,9.733492851,1.360915351,1.706441434,8051.712079,25.35218487
3213,2010549,0.216,0,0.315,0,2.11,20.365,0.449,3.45,7.77,117.2,40102020403,4,-92.00236827,47.06918276,1.727378738,3213,728.4929198,11.07700076,2302.875915,0.2597227628,140.0989649,3.725247525,0.0618811881,12.73781829,100,0,0,0,0.03041188419,0.120293887,0.001735193484,142.8475564,37.13953804
3253,2010600,0.0689,0,0,2,2.62,5.8025,0.215,2.8,2.59,96.9,50600020802,6,-82.69059151,39.05559352,3.669986701,3253,741.7629,20.37859134,442.9563583,0.4030018202,111.6783853,3.912780133,21.65960024,15.86362721,77.3695296,0,5.872917273,0,7.412478447,0.9808548778,0.324166631,1427.298299,65.82615387
3305,2011078,0.0703,0.16,1.4,0,24.8,62.49625,1.255,0.7,7.66,386,71200010702,4,-86.47460921,41.41424821,2.488174072,3305,1472.043,13.17723486,3221.829044,0.2127292848,100.6281238,18.14619811,56.7772744,12.6709192,37.8344849,0,361.396,0,53.69103241,1.057068215,0.3554672877,2711.828287,137.387265
3365,2010380,0.0408,0.1,2.71,2,6.13,19.31625,0.679,3.2,6.72,454.3,51201060104,4,-85.69322693,41.28560211,3.989851675,3365,610.4305988,18.26755502,3464.865698,0.2613839452,94.17248091,14.11938099,58.77671334,11.87084248,63.68569777,0,278.1818,0,41.48947906,1.859868001,4.220926759,2756.489772,56.66362098
3386,2010256,0.0559,4.08,0,5.1,29.37,100.27125,6.55,0.6,5.18,456.2,50600011006,4,-83.06867027,40.36301418,5.547346638,3386,95951.2452,23.43973591,1856.819587,0.3744199982,97.94234236,9.563764841,75.23389336,11.90001939,33.44110665,0,0,0,30.18747902,1.424877408,0.1439380417,660.7736853,454.1452265
3434,2010543,0.0756,0.08,0.538,1,39.04,51.88875,1.319,1.2,8.16,307.5,70102030602,5,-94.02666784,45.26386938,2.287104722,3434,805.9719,16.92945559,5402.72984,0.2157679898,83.73657012,6.068042387,77.41215839,5.153940326,83.40687237,0,0,0,21.51281738,1.219255969,1.765363344,3269.383552,174.7209048
